,Area,Room,Parking,Warehouse,Elevator,Address,Price(USD),PriceGrade,AreaGrade,Price(meter²),Price(Neighborhood)
0,63,1,True,True,True,Shahran,61666.67,Budget,Medium,978.8360317460317,99525.1286923077
1,60,1,True,True,True,Shahran,61666.67,Budget,Small,1027.7778333333333,99525.1286923077
2,79,2,True,True,True,Pardis,18333.33,Budget,Medium,232.0674683544304,25927.39732876712
3,95,2,True,True,True,Shahrake Qods,30083.33,Budget,Large,316.6666315789474,30030.72463768116
4,123,2,True,True,True,Shahrake Gharb,233333.33,Budget,VeryLarge,1897.0189430894309,398996.04508474574
5,70,2,True,True,False,North Program Organization,68333.33,Budget,Medium,976.1904285714286,247240.74074074073
6,87,2,True,True,True,Pardis,20000.0,Budget,Medium,229.88505747126436,25927.39732876712
7,59,1,True,True,True,Shahran,71666.67,Budget,Small,1214.6893220338982,99525.1286923077
8,54,2,True,True,False,Andisheh,16433.33,Budget,Small,304.32092592592596,62586.42602409639
9,71,1,True,True,True,West Ferdows Boulevard,79000.0,Budget,Medium,1112.6760563380283,103524.82772413793
10,68,2,True,True,True,West Ferdows Boulevard,81666.67,Budget,Medium,1200.9804411764705,103524.82772413793
11,64,1,True,True,True,Narmak,70000.0,Budget,Medium,1093.75,131330.6668
12,54,1,False,True,True,Narmak,56333.33,Budget,Small,1043.2098148148148,131330.6668
13,136,3,True,True,True,Saadat Abad,366666.67,Affordable,VeryLarge,2696.078455882353,316291.9895348837
14,95,2,True,True,True,Zafar,166666.67,Budget,Large,1754.3860000000002,439146.66799999995
15,63,1,False,True,False,Islamshahr,19000.0,Budget,Medium,301.58730158730157,41914.10230769231
16,155,3,True,True,True,Narmak,223333.33,Budget,VeryLarge,1440.860193548387,131330.6668
17,64,2,False,True,False,Pirouzi,48333.33,Budget,Medium,755.20828125,72499.99968253968
18,140,3,True,True,True,West Ferdows Boulevard,213333.33,Budget,VeryLarge,1523.8094999999998,103524.82772413793
19,42,1,False,True,False,Pirouzi,46333.33,Budget,Small,1103.1745238095239,72499.99968253968
20,93,2,True,True,True,Shahrake Gharb,233333.33,Budget,Large,2508.9605376344084,398996.04508474574
21,87,2,True,True,True,Shahrake Shahid Bagheri,83333.33,Budget,Medium,957.854367816092,82500.0
22,65,1,True,True,True,Shahran,62666.67,Budget,Medium,964.1026153846153,99525.1286923077
23,99,2,True,True,True,Moniriyeh,75900.0,Budget,Large,766.6666666666666,72066.66500000001
24,105,2,True,True,True,Saadat Abad,238333.33,Budget,Large,2269.841238095238,316291.9895348837
25,160,3,True,True,True,Velenjak,498166.67,Affordable,VeryLarge,3113.5416875,712712.1213636363
26,77,2,True,True,True,Amirieh,59033.33,Budget,Medium,766.6666233766234,59680.556666666664
27,123,2,True,True,True,Pirouzi,135300.0,Budget,VeryLarge,1100.0,72499.99968253968
28,110,2,True,True,True,Southern Janatabad,21000.0,Budget,Large,190.9090909090909,105948.38731182796
29,100,2,True,True,True,West Ferdows Boulevard,106666.67,Budget,Large,1066.6667,103524.82772413793
30,90,2,False,True,False,Salsabil,50000.0,Budget,Medium,555.5555555555555,46566.97266666666
31,49,1,True,True,True,West Ferdows Boulevard,73333.33,Budget,Small,1496.5985714285714,103524.82772413793
32,96,2,True,True,True,Zargandeh,262400.0,Budget,Large,2733.3333333333335,235600.0
33,67,2,True,True,False,Feiz Garden,78333.33,Budget,Medium,1169.1541791044776,101877.19315789473
34,68,2,True,True,True,West Ferdows Boulevard,83333.33,Budget,Medium,1225.4901470588236,103524.82772413793
35,62,1,True,False,True,Water Organization,71666.67,Budget,Medium,1155.9140322580645,103333.335
36,55,1,True,True,True,West Ferdows Boulevard,71666.67,Budget,Small,1303.0303636363635,103524.82772413793
37,110,2,True,True,True,West Ferdows Boulevard,125000.0,Budget,Large,1136.3636363636363,103524.82772413793
38,129,2,True,True,True,West Ferdows Boulevard,175000.0,Budget,VeryLarge,1356.5891472868218,103524.82772413793
39,109,2,True,True,True,West Ferdows Boulevard,161000.0,Budget,Large,1477.0642201834862,103524.82772413793
40,58,1,True,True,True,Saadat Abad,113333.33,Budget,Small,1954.0229310344828,316291.9895348837
41,55,1,True,True,True,Saadat Abad,128333.33,Budget,Small,2333.3332727272727,316291.9895348837
42,150,2,False,True,True,Shahrake Qods,40000.0,Budget,VeryLarge,266.6666666666667,30030.72463768116
43,130,3,True,True,False,ShahrAra,166666.67,Budget,VeryLarge,1282.0513076923078,201000.0
44,88,2,True,True,True,Gisha,158333.33,Budget,Medium,1799.2423863636361,183903.70222222223
45,51,1,True,True,True,Gisha,99333.33,Budget,Small,1947.7123529411765,183903.70222222223
46,113,3,True,True,False,Shahrake Gharb,233333.33,Budget,Large,2064.8967256637166,398996.04508474574
47,110,2,True,True,True,Ray,67833.33,Budget,Large,616.6666363636364,60218.51777777778
48,60,1,True,True,True,Abbasabad,82000.0,Budget,Small,1366.6666666666667,107666.665
49,98,2,True,True,True,Pardis,18000.0,Budget,Large,183.6734693877551,25927.39732876712
50,62,2,False,False,True,Ostad Moein,48333.33,Budget,Medium,779.5698387096775,64229.26865853659
51,150,3,True,True,True,Farmanieh,333333.33,Affordable,VeryLarge,2222.2222,697242.6898245614
52,75,2,False,False,False,Parand,21166.67,Budget,Medium,282.22226666666666,17453.01874015748
53,61,1,True,True,False,Punak,67666.67,Budget,Medium,1109.2896721311474,124276.81161490682
54,61,1,True,True,False,Punak,67666.67,Budget,Medium,1109.2896721311474,124276.81161490682
55,72,2,True,True,True,Shahran,78333.33,Budget,Medium,1087.9629166666666,99525.1286923077
56,100,2,True,True,True,Qasr-od-Dasht,100000.0,Budget,Large,1000.0,50485.71392857143
57,122,3,True,True,True,Aqdasieh,240000.0,Budget,VeryLarge,1967.2131147540983,585999.9996
58,215,3,True,True,True,Pakdasht,58333.33,Budget,Huge,271.3178139534884,27426.6656
59,101,2,True,True,True,Railway,110000.0,Budget,Large,1089.1089108910892,122912.12090909091
60,67,2,True,True,True,Punak,93333.33,Budget,Medium,1393.034776119403,124276.81161490682
61,72,2,True,True,False,Punak,73333.33,Budget,Medium,1018.5184722222223,124276.81161490682
62,63,1,True,True,False,Punak,73333.33,Budget,Medium,1164.0211111111112,124276.81161490682
63,75,2,True,True,False,Punak,73333.33,Budget,Medium,977.7777333333333,124276.81161490682
64,109,2,True,True,True,Shahran,116666.67,Budget,Large,1070.3364220183487,99525.1286923077
65,122,2,True,True,True,Aqdasieh,233333.33,Budget,VeryLarge,1912.5682786885245,585999.9996
66,70,1,True,True,True,Central Janatabad,103333.33,Budget,Medium,1476.1904285714286,116287.03677777779
67,60,1,True,True,True,West Ferdows Boulevard,81666.67,Budget,Small,1361.1111666666666,103524.82772413793
68,53,1,True,True,False,East Ferdows Boulevard,64000.0,Budget,Small,1207.5471698113208,128490.54027027027
69,90,1,False,True,False,Pakdasht KhatunAbad,28333.33,Budget,Medium,314.8147777777778,28333.33
70,72,2,True,True,True,Amirieh,55000.0,Budget,Medium,763.8888888888889,59680.556666666664
71,74,2,True,True,True,Amirieh,56666.67,Budget,Medium,765.7658108108108,59680.556666666664
72,88,3,False,False,True,Parand,18666.67,Budget,Medium,212.12124999999997,17453.01874015748
73,63,1,True,True,True,Punak,71666.67,Budget,Medium,1137.5661904761905,124276.81161490682
74,114,3,True,True,True,Sattarkhan,183333.33,Budget,Large,1608.1871052631577,188166.66583333336
75,151,3,True,True,True,Saadat Abad,340000.0,Affordable,VeryLarge,2251.655629139073,316291.9895348837
76,42,1,True,False,True,Shahran,58666.67,Budget,Small,1396.8254761904761,99525.1286923077
77,74,2,True,True,True,Amirieh,56666.67,Budget,Medium,765.7658108108108,59680.556666666664
78,88,3,False,False,True,Parand,18666.67,Budget,Medium,212.12124999999997,17453.01874015748
79,63,1,True,True,True,Punak,71666.67,Budget,Medium,1137.5661904761905,124276.81161490682
80,114,3,True,True,True,Sattarkhan,183333.33,Budget,Large,1608.1871052631577,188166.66583333336
81,151,3,True,True,True,Saadat Abad,340000.0,Affordable,VeryLarge,2251.655629139073,316291.9895348837
82,42,1,True,False,True,Shahran,58666.67,Budget,Small,1396.8254761904761,99525.1286923077
83,300,3,True,True,False,Baghestan,50000.0,Budget,Huge,166.66666666666666,23562.50125
84,110,2,True,True,True,West Ferdows Boulevard,124333.33,Budget,Large,1130.303,103524.82772413793
85,100,2,False,False,False,Shahrake Qods,20666.67,Budget,Large,206.6667,30030.72463768116
86,140,1,False,False,False,Shahryar,19333.33,Budget,VeryLarge,138.0952142857143,72356.41
87,70,2,True,True,True,Northern Janatabad,101666.67,Budget,Medium,1452.381,109611.11090909092
88,60,2,True,True,False,West Ferdows Boulevard,66666.67,Budget,Small,1111.1111666666666,103524.82772413793
89,76,2,True,True,True,North Program Organization,86666.67,Budget,Medium,1140.3509210526315,247240.74074074073
90,148,3,True,True,True,Daryan No,199666.67,Budget,VeryLarge,1349.0991216216216,203222.22333333336
91,75,2,True,True,True,North Program Organization,76666.67,Budget,Medium,1022.2222666666667,247240.74074074073
92,40,1,True,True,False,Pirouzi,43333.33,Budget,Tiny,1083.3332500000001,72499.99968253968
93,65,2,True,True,True,Southern Program Organization,75666.67,Budget,Medium,1164.1026153846153,93652.17434782608
94,140,3,True,True,True,Rudhen,133333.33,Budget,VeryLarge,952.3809285714285,67527.27272727272
