,Area,Room,Parking,Warehouse,Elevator,Address,Price(USD),PriceGrade,AreaGrade,Price(meter²),Price(Neighborhood)
2430,80,2,True,True,True,Ekhtiarieh,146666.67,Budget,Medium,1833.3333750000002,337801.5880952381
114,140,3,True,True,True,Gisha,373333.33,Affordable,VeryLarge,2666.666642857143,183903.70222222223
2925,90,2,True,True,True,Marzdaran,207666.67,Budget,Medium,2307.4074444444445,315572.7272727273
3394,82,2,True,True,True,Shahran,120000.0,Budget,Medium,1463.4146341463415,99525.1286923077
1833,62,1,True,True,True,Shahrake Qods,17000.0,Budget,Medium,274.19354838709677,30030.72463768116
866,70,2,True,True,True,Southern Janatabad,80000.0,Budget,Medium,1142.857142857143,105948.38731182796
1692,120,2,True,True,True,Southern Janatabad,136666.67,Budget,Large,1138.8889166666668,105948.38731182796
261,53,1,True,True,True,East Ferdows Boulevard,64000.0,Budget,Small,1207.5471698113208,128490.54027027027
2665,70,1,True,True,True,Hakimiyeh,77000.0,Budget,Medium,1100.0,104199.99799999999
2931,185,3,True,True,True,Ekhtiarieh,540000.0,Affordable,VeryLarge,2918.9189189189187,337801.5880952381
400,82,2,True,True,True,Sattarkhan,136666.67,Budget,Medium,1666.6667073170734,188166.66583333336
1088,95,2,False,True,True,Nawab,72833.33,Budget,Large,766.6666315789474,48083.33
1420,290,3,True,True,True,Farmanieh,1233333.33,MidRange,Huge,4252.873551724138,697242.6898245614
2262,66,2,True,True,False,Punak,88333.33,Budget,Medium,1338.3837878787879,124276.81161490682
1886,57,1,True,True,True,Azarbaijan,58333.33,Budget,Small,1023.391754385965,78347.2225
851,89,2,True,True,True,Ekhtiarieh,110000.0,Budget,Medium,1235.9550561797753,337801.5880952381
156,144,3,True,True,True,Chardivari,254400.0,Budget,VeryLarge,1766.6666666666667,254400.0
3239,75,2,False,False,True,Parand,11000.0,Budget,Medium,146.66666666666666,17453.01874015748
2125,105,2,True,True,True,West Ferdows Boulevard,121666.67,Budget,Large,1158.7301904761905,103524.82772413793
2168,235,3,True,True,True,Niavaran,1033333.33,Standard,Huge,4397.163106382978,663106.8627941177
1389,83,2,True,True,False,West Ferdows Boulevard,80000.0,Budget,Medium,963.855421686747,103524.82772413793
1520,91,2,True,True,True,Shahran,111666.67,Budget,Large,1227.1062637362638,99525.1286923077
77,74,2,True,True,True,Amirieh,56666.67,Budget,Medium,765.7658108108108,59680.556666666664
371,125,2,True,True,True,Shahr-e-Ziba,213333.33,Budget,VeryLarge,1706.66664,103462.99724770641
436,213,3,True,True,True,East Ferdows Boulevard,482800.0,Affordable,Huge,2266.6666666666665,128490.54027027027
1397,226,4,True,True,True,Mahmoudieh,566666.67,Affordable,Huge,2507.3746460176994,1115555.5566666666
2795,55,2,True,True,True,Andisheh,15000.0,Budget,Small,272.72727272727275,62586.42602409639
3218,140,3,True,True,True,Saadat Abad,266666.67,Budget,VeryLarge,1904.7619285714284,316291.9895348837
878,68,2,True,True,False,Pirouzi,51666.67,Budget,Medium,759.8039705882353,72499.99968253968
1885,105,2,True,True,True,Pardis,31500.0,Budget,Large,300.0,25927.39732876712
3211,62,1,False,True,False,Beryanak,22733.33,Budget,Medium,366.6666129032258,38150.6668
209,58,1,True,True,True,East Ferdows Boulevard,61666.67,Budget,Small,1063.218448275862,128490.54027027027
392,55,1,True,True,True,West Ferdows Boulevard,73333.33,Budget,Small,1333.3332727272727,103524.82772413793
1251,101,2,True,True,True,Saadat Abad,185000.0,Budget,Large,1831.6831683168316,316291.9895348837
2769,33,1,False,True,False,Beryanak,18666.67,Budget,Tiny,565.6566666666666,38150.6668
2072,153,3,True,True,True,Punak,250000.0,Budget,VeryLarge,1633.986928104575,124276.81161490682
1356,133,3,True,True,True,East Ferdows Boulevard,266666.67,Budget,VeryLarge,2005.0125563909774,128490.54027027027
603,82,2,True,True,True,Pardis,36666.67,Budget,Medium,447.1545121951219,25927.39732876712
1731,105,2,True,True,True,Central Janatabad,143333.33,Budget,Large,1365.0793333333331,116287.03677777779
2763,60,1,True,True,False,Punak,66666.67,Budget,Small,1111.1111666666666,124276.81161490682
2806,120,3,True,True,True,Tenant,108000.0,Budget,Large,900.0,62402.89956521739
3441,94,2,False,True,True,Damavand,19833.33,Budget,Large,210.99287234042555,122108.69521739132
550,86,2,True,True,True,Punak,140000.0,Budget,Medium,1627.906976744186,124276.81161490682
1437,86,2,True,True,True,Air force,97466.67,Budget,Medium,1133.3333720930232,106259.999
